Title,Brand,MRP,Price,Count of Ratings,Count of Reviews,Average Rating Score,Product URL,Image URL
LG B2 139 cm (55 inch) 4K Ultra HD OLED WebOS TV with Voice Assistance (2022 model),LG,112990,159990,0,0,0.0,https://www.croma.com/lg-b2-139-cm-55-inch-4k-ultra-hd-oled-webos-tv-with-voice-assistance-2022-model-/p/258423,https://media.croma.com/image/upload/v1664417229/Croma%20Assets/Entertainment/Television/Images/258423_0_mnu9bz.png
SAMSUNG 7 Series 138 cm (55 inch) 4K Ultra HD LED Tizen OS TV with Pur Color,Samsung,62490,75900,0,0,0.0,https://www.croma.com/samsung-7-series-138-cm-55-inch-4k-ultra-hd-led-tizen-os-tv-with-pur-color/p/271804,https://media.croma.com/image/upload/v1688579455/Croma%20Assets/Entertainment/Television/Images/271804_0_cg6jjf.png
KODAK CA Series 164 cm (65 inch) 4K Ultra HD LED Android TV with Google Assistant (2020 model),Kodak,47999,70499,0,0,0.0,https://www.croma.com/kodak-ca-series-164-cm-65-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2020-model-/p/246061,https://media.croma.com/image/upload/v1663781563/Croma%20Assets/Entertainment/Television/Images/246061_0_rxicqv.png
Haier K Series 126 cm (50 inch) 4K Ultra HD LED Android TV with Google Assistant,Haier,39990,64990,1,1,5.0,https://www.croma.com/haier-k-series-126-cm-50-inch-4k-ultra-hd-led-android-tv-with-google-assistant/p/251225,https://media.croma.com/image/upload/v1664421633/Croma%20Assets/Entertainment/Television/Images/251225_0_bm7ege.png
Panasonic LX 139 cm (55 inch) 4K Ultra HD LED Android TV with Alexa Compatibility,Panasonic,60490,82990,3,3,4.0,https://www.croma.com/panasonic-lx-139-cm-55-inch-4k-ultra-hd-led-android-tv-with-alexa-compatibility/p/251787,https://media.croma.com/image/upload/v1663780534/Croma%20Assets/Entertainment/Television/Images/251787_0_rwb7t6.png
SAMSUNG 7 Series 163 cm (65 inch) 4K Ultra HD LED Tizen TV with Bezel-less Display,Samsung,98900,110900,0,0,0.0,https://www.croma.com/samsung-7-series-163-cm-65-inch-4k-ultra-hd-led-tizen-tv-with-bezel-less-display/p/271664,https://media.croma.com/image/upload/v1681301354/Croma%20Assets/Entertainment/Television/Images/271664_l7jaor.png
SAMSUNG 8 Series 163 cm (65 inch) 4K Ultra HD LED Tizen TV with Bezel-less Display,Samsung,114900,127900,0,0,0.0,https://www.croma.com/samsung-8-series-163-cm-65-inch-4k-ultra-hd-led-tizen-tv-with-bezel-less-display/p/271666,https://media.croma.com/image/upload/v1681305653/Croma%20Assets/Entertainment/Television/Images/271666_ylhyma.png
Haier 109 cm (43 inch) LED 4K Ultra HD Android TV with Google Assistant (2022 model),Haier,32990,51990,3,3,4.6666666667,https://www.croma.com/haier-109-cm-43-inch-led-4k-ultra-hd-android-tv-with-google-assistant-2022-model-/p/264074,https://media.croma.com/image/upload/v1683560619/Croma%20Assets/Entertainment/Television/Images/264074_0_evq6tl.png
SAMSUNG 7 Series 138 cm (55 inch) QLED 4K Smart Tizen TV with Bezel-less Display,Samsung,103900,118900,0,0,0.0,https://www.croma.com/samsung-7-series-138-cm-55-inch-qled-4k-smart-tizen-tv-with-bezel-less-display/p/271991,https://media.croma.com/image/upload/v1681297130/Croma%20Assets/Entertainment/Television/Images/271991_gzyzhh.png
LG UR80 126 cm (50 inch) 4K Ultra HD LED WebOS TV with AI Processor 4K Gen6,LG,60990,72990,0,0,0.0,https://www.croma.com/lg-ur80-126-cm-50-inch-4k-ultra-hd-led-webos-tv-with-ai-processor-4k-gen6/p/273718,https://media.croma.com/image/upload/v1686546721/Croma%20Assets/Entertainment/Television/Images/273718_umia5d.png
SAMSUNG 8 Series 108 cm (43 inch) 4K Ultra HD LED Tizen TV with Adaptive Sound,Samsung,54400,57900,0,0,0.0,https://www.croma.com/samsung-8-series-108-cm-43-inch-4k-ultra-hd-led-tizen-tv-with-adaptive-sound/p/272004,https://media.croma.com/image/upload/v1681470759/Croma%20Assets/Entertainment/Television/Images/272004_dgrfxe.png
LG UR75 165 cm (65 inch) 4K Ultra HD LED WebOS TV with α5 Gen5 AI Processor 4K,LG,65990,104990,0,0,0.0,https://www.croma.com/lg-ur75-165-cm-65-inch-4k-ultra-hd-led-webos-tv-with-%ce%b15-gen5-ai-processor-4k/p/274894,https://media.croma.com/image/upload/v1688377082/Croma%20Assets/Entertainment/Television/Images/274894_qwvm58.png
SAMSUNG 8 Series 138 cm (55 inch) 4K Ultra HD QLED Tizen TV with Bezel-less Display,Samsung,159990,189900,0,0,0.0,https://www.croma.com/samsung-8-series-138-cm-55-inch-4k-ultra-hd-qled-tizen-tv-with-bezel-less-display/p/271993,https://media.croma.com/image/upload/v1681298417/Croma%20Assets/Entertainment/Television/Images/271993_ovtvq3.png
SAMSUNG 8 139 cm (55 inch) 4K Ultra HD LED Tizen Smart TV with Alexa Compatibility,Samsung,68990,94900,2,2,4.0,https://www.croma.com/samsung-8-139-cm-55-inch-4k-ultra-hd-led-tizen-smart-tv-with-alexa-compatibility/p/252012,https://media.croma.com/image/upload/v1680264987/252012_bevisb.png
aiwa 108 cm (43 inch) 4K Ultra HD LED Android TV with Crysta Vision Technology,Aiwa,27690,59990,0,0,0.0,https://www.croma.com/aiwa-108-cm-43-inch-4k-ultra-hd-led-android-tv-with-crysta-vision-technology/p/268766,https://media.croma.com/image/upload/v1686217285/Croma%20Assets/Entertainment/Television/Images/268766_hgssm7.png
SAMSUNG 8 Series 138 cm (55 inch) 4K Ultra HD LED Tizen TV with Dynamic Crystal Color,Samsung,78900,85900,0,0,0.0,https://www.croma.com/samsung-8-series-138-cm-55-inch-4k-ultra-hd-led-tizen-tv-with-dynamic-crystal-color/p/271663,https://media.croma.com/image/upload/v1681304855/Croma%20Assets/Entertainment/Television/Images/271663_bharnv.png
SAMSUNG 6 Series 163 cm (65 inch) QLED 4K Tizen TV with Bezel-less Display,Samsung,160900,179900,0,0,0.0,https://www.croma.com/samsung-6-series-163-cm-65-inch-qled-4k-tizen-tv-with-bezel-less-display/p/271988,https://media.croma.com/image/upload/v1681295596/Croma%20Assets/Entertainment/Television/Images/271988_bizyex.png
SAMSUNG LS Frame Series 189 cm (75 inch) QLED 4K Ultra HD Tizen TV with Alexa Compatibility,Samsung,284900,424900,0,0,0.0,https://www.croma.com/samsung-ls-frame-series-189-cm-75-inch-qled-4k-ultra-hd-tizen-tv-with-alexa-compatibility/p/251983,https://media.croma.com/image/upload/v1680352853/251983_0_a21xgx.png
SAMSUNG Series 7 163 cm (65 inch) QLED 4K Ultra HD Tizen TV with Alexa Compatibility,Samsung,181490,234900,1,1,5.0,https://www.croma.com/samsung-series-7-163-cm-65-inch-qled-4k-ultra-hd-tizen-tv-with-alexa-compatibility/p/234611,https://media.croma.com/image/upload/v1663785431/Croma%20Assets/Entertainment/Television/Images/234611_0_lmq1wn.png
TCL C Series 165.1 cm (65 inch) 4K Ultra HD QLED Android TV with Voice Assistance (2022 model),TCL,75990,164990,3,3,4.6666666667,https://www.croma.com/tcl-c-series-165-1-cm-65-inch-4k-ultra-hd-qled-android-tv-with-voice-assistance-2022-model-/p/255760,https://media.croma.com/image/upload/v1670500549/Croma%20Assets/Entertainment/Television/Images/255760_yozfex.png
Panasonic 108 cm (43 inch) 4K Ultra HD LED Google TV with Audio Booster Plus Speaker,Panasonic,37990,49990,0,0,0.0,https://www.croma.com/panasonic-108-cm-43-inch-4k-ultra-hd-led-google-tv-with-audio-booster-plus-speaker/p/273071,https://media.croma.com/image/upload/v1688476137/Croma%20Assets/Entertainment/Television/Images/273071_f9kl6i.png
SAMSUNG 6 Series 108 cm (43 inch) QLED 4K Ultra HD Tizen TV with Adaptive Sound,Samsung,66400,72900,0,0,0.0,https://www.croma.com/samsung-6-series-108-cm-43-inch-qled-4k-ultra-hd-tizen-tv-with-adaptive-sound/p/272001,https://media.croma.com/image/upload/v1681463378/Croma%20Assets/Entertainment/Television/Images/272001_uyequo.png
SAMSUNG 7 Series 163 cm (65 inch) QLED 4K Ultra HD Tizen TV with Bezel-less Display,Samsung,172900,202900,0,0,0.0,https://www.croma.com/samsung-7-series-163-cm-65-inch-qled-4k-ultra-hd-tizen-tv-with-bezel-less-display/p/271992,https://media.croma.com/image/upload/v1681297173/Croma%20Assets/Entertainment/Television/Images/271992_yx3ucs.png
SAMSUNG 6 Series 138 cm (55 inch) QLED 4K Tizen TV with Bezel-less Display,Samsung,94400,105900,0,0,0.0,https://www.croma.com/samsung-6-series-138-cm-55-inch-qled-4k-tizen-tv-with-bezel-less-display/p/271987,https://media.croma.com/image/upload/v1688580301/Croma%20Assets/Entertainment/Television/Images/271987_0_l7yd97.png
SAMSUNG 8 Series 163 cm (65 inch) 4K Ultra HD QLED Tizen TV with Bezel-less Display,Samsung,214990,249900,0,0,0.0,https://www.croma.com/samsung-8-series-163-cm-65-inch-4k-ultra-hd-qled-tizen-tv-with-bezel-less-display/p/271994,https://media.croma.com/image/upload/v1681298503/Croma%20Assets/Entertainment/Television/Images/271994_pr5h49.png
SAMSUNG  Series 7 138 cm (55 inch) 4K Ultra HD LED Tizen TV with Voice Assistance (2022 model),Samsung,61990,70900,0,0,0.0,https://www.croma.com/samsung-series-7-138-cm-55-inch-4k-ultra-hd-led-tizen-tv-with-voice-assistance-2022-model-/p/258508,https://media.croma.com/image/upload/v1667229822/Croma%20Assets/Entertainment/Television/Images/258508_0_wszqil.png
SAMSUNG 6 Series 125 cm (50 inch) QLED 4K Tizen TV with Bezel-less Display,Samsung,74900,83900,0,0,0.0,https://www.croma.com/samsung-6-series-125-cm-50-inch-qled-4k-tizen-tv-with-bezel-less-display/p/271986,https://media.croma.com/image/upload/v1688580280/Croma%20Assets/Entertainment/Television/Images/271986_0_re3chm.png
LG UQ75 108 cm (43 inch) 4K Ultra HD LED WebOS TV with Gen5 AI Processor 4K,LG,28990,49990,0,0,0.0,https://www.croma.com/lg-uq75-108-cm-43-inch-4k-ultra-hd-led-webos-tv-with-gen5-ai-processor-4k/p/274582,https://media.croma.com/image/upload/v1688462862/Croma%20Assets/Entertainment/Television/Images/274582_lxviqe.png
Croma 109 cm (43 inch) 4K Ultra HD Smart WebOS TV with Dolby Audio,Croma,22990,50000,44,46,4.1304347826,https://www.croma.com/croma-109-cm-43-inch-4k-ultra-hd-smart-webos-tv-with-dolby-audio/p/265284,https://media.croma.com/image/upload/v1672735448/Croma%20Assets/Entertainment/Television/Images/265284_lfxmkp.png
realme 108 cm (43 inch) 4K Ultra HD LED Android TV with Google Assistant (2021 model),Realme,23999,32999,1,1,4.0,https://www.croma.com/realme-108-cm-43-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2021-model-/p/252954,https://media.croma.com/image/upload/v1664418734/Croma%20Assets/Entertainment/Television/Images/252954_0_aznhar.png
SONY Bravia A80J 139 cm (55 inch) OLED 4K Ultra HD Android TV with Alexa Compatibility,Sony,124990,249900,24,33,4.5454545455,https://www.croma.com/sony-bravia-a80j-139-cm-55-inch-oled-4k-ultra-hd-android-tv-with-alexa-compatibility/p/237752,https://media.croma.com/image/upload/v1663782477/Croma%20Assets/Entertainment/Television/Images/237752_0_ekzhpl.png
SONY X82L 189 cm (75 inch) 4K Ultra HD LED Google TV with Live Colour Technology (2023 model),Sony,170990,269900,0,0,0.0,https://www.croma.com/sony-x82l-189-cm-75-inch-4k-ultra-hd-led-google-tv-with-live-colour-technology-2023-model-/p/273821,https://media.croma.com/image/upload/v1689334348/Croma%20Assets/Entertainment/Television/Images/273821_0_jx1xz7.png
LG G2 139 cm (55 inch) OLED 4K Ultra HD WebOS TV with Voice Assistance (2022 model),LG,140999,254990,11,11,4.2727272727,https://www.croma.com/lg-g2-139-cm-55-inch-oled-4k-ultra-hd-webos-tv-with-voice-assistance-2022-model-/p/258424,https://media.croma.com/image/upload/v1664417174/Croma%20Assets/Entertainment/Television/Images/258424_0_putdlt.png
